Codigo    Titulo del libro                                            Autor del libro                                   Stock disponible
IIM5175   Diamantes y pedernales                                      Jose Maria Arguedas                                    2
DK7687    El otonio del patriarca                                     Gabriel Garcia Marquez                                60
OY6470    El viejo y el mar                                           Hernest Hemingway                                     25
TZ8565    Confesiones de una mascara                                  Yukio Mishima                                         27
QL0880    Contra el fascismo                                          Umberto Eco                                           34
FZ9435    El olor de la Edad Media                                    Javier Traite                                         49
FZ1256    La Iliada                                                   Homero                                                34
DQ0577    Las aventuras de Pinocho                                    Carlo Collodi                                         27
JI3961    Cien anios de soledad                                       Gabriel Garcia Marquez                                45
PN5351    El Amante                                                   Ana Maria Moix                                        27
VS2464    Sapiens                                                     Yuval Noah Harari                                     18
VL7760    Falco                                                       Arturo Perez-Reverte                                  57
RH6838    Las cronicas de Narnia                                      C. S. Lewis                                           43
DL2628    Harry Potter y el caliz de fuego (Harry Potter 4)           J.K. Rowling                                           3
BU9053    Tierra arrasada                                             Alfredo Gonzalez Ruibal                               34
JM1292    El suenio del celta                                         Mario Vargas Llosa                                    52
RA4157    El forastero misterioso                                     Mark Twain                                            39
II8346    Las dos Dianas                                              Alejandro Dumas                                       23
BR9372    El maestro de esgrima                                       Arturo Perez-Reverte                                  60
EO9165    Emperador de Roma                                           Mary Beard                                            65
BZ2657    Olalla                                                      Robert Louis Stevenson                                 5
BP7411    Nunca                                                       Ken Follett                                           40
PH1575    La gran aventura de los griegos                             Javier Negrete                                         3
IU2628    Cabo Trafalgar                                              Arturo Perez-Reverte                                  21
DT0017    Viaje al fin de la noche                                    Louis Ferdinand Celine                                38
LG7766    Iliada                                                      Homero                                                 7
GQ0131    Odisea                                                      Homero                                                22
LB4548    Frankenstein o el moderno Prometeo                          Mary W. Shelley                                       18
QB7146    Cronica de una muerte anunciada                             Gabriel Garcia Marquez                                31
HK9148    Historia y cronologia del mundo                             Isaac Asimov                                          63
VU0233    La conspiracioni                                            Dan Brown                                             60
WL0415    1923                                                        Roberto Villa Garcia                                  24
PU8819    Tristam Shandy                                              Laurence Sterne                                       47
TX5687    Veinte mil leguas de viaje submarino                        Julio Verne                                           29
CT8192    Diario                                                      Ana FranK                                             63
MN0252    Los hermanos Karamazov                                      Fiodor Dostoyevski                                    42
KC4095    El Gran Gatsby                                              F. Scott Fitzgerald                                   26
